,original_title,year_of_release,genres,summary,actors,Movie_COL
0,Uri: The Surgical Strike,2019,Action Drama War,Indian army special forces execute a covert operation  avenging the killing of fellow army men at their base by a terrorist group.,Vicky Kaushal,Uri: The Surgical Strike Action Drama War Indian army special forces execute a covert operation  avenging the killing of fellow army men at their base by a terrorist group. Vicky Kaushal
1,Battalion 609,2019,War,The story of Battalion 609 revolves around a cricket match between the Indian Army and the Pakistan army gone wrong and narrates the tale of the brave soldiers of Battalion 609 putting up a fight with the mighty Taliban.,Vicky Ahuja,Battalion 609 War The story of Battalion 609 revolves around a cricket match between the Indian Army and the Pakistan army gone wrong and narrates the tale of the brave soldiers of Battalion 609 putting up a fight with the mighty Taliban. Vicky Ahuja
2,The Accidental Prime Minister,2019,Biography Drama,Explores Manmohan Singh's tenure as the Prime Minister of India and the kind of control he had over the cabinet and the country.,Anupam Kher,The Accidental Prime Minister Biography Drama Explores Manmohan Singh's tenure as the Prime Minister of India and the kind of control he had over the cabinet and the country. Anupam Kher
3,Why Cheat India,2019,Crime Drama,The movie focuses on existing malpractices in country's education system  the whole concept of buying your way through education  jobs and earnings. Even with an evolving education system  ...                    ,Emraan Hashmi,Why Cheat India Crime Drama The movie focuses on existing malpractices in country's education system  the whole concept of buying your way through education  jobs and earnings. Even with an evolving education system  ...                     Emraan Hashmi
4,Evening Shadows,2018,Drama,Under the 'Evening Shadows'  truth often plays hide and seek. Set in South India and Mumbai  'Evening Shadows' is a tender heartwarming story about a mother-son bond that has to withstand the ravages of time  distance and truths.,Mona Ambegaonkar,Evening Shadows Drama Under the 'Evening Shadows'  truth often plays hide and seek. Set in South India and Mumbai  'Evening Shadows' is a tender heartwarming story about a mother-son bond that has to withstand the ravages of time  distance and truths. Mona Ambegaonkar
5,Soni,2018,Drama,While fighting crimes against women in Delhi  a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives.,Geetika Vidya Ohlyan,Soni Drama While fighting crimes against women in Delhi  a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives. Geetika Vidya Ohlyan
6,Fraud Saiyyan,2019,Comedy Drama,Fraud Saiyyan is the story of a con artist in North India who convinces women to marry him just so he can live off their money.,Arshad Warsi,Fraud Saiyyan Comedy Drama Fraud Saiyyan is the story of a con artist in North India who convinces women to marry him just so he can live off their money. Arshad Warsi
7,Bombairiya,2019,Comedy Crime Drama,It follows the story of Meghna  who gets embroiled in a series of events after her phone gets stolen.,Radhika Apte,Bombairiya Comedy Crime Drama It follows the story of Meghna  who gets embroiled in a series of events after her phone gets stolen. Radhika Apte
8,Manikarnika: The Queen of Jhansi,2019,Action Biography Drama,Story of Rani Lakshmibai  one of the leading figures of the Indian Rebellion of 1857 and her resistance to the British Rule.,Kangana Ranaut,Manikarnika: The Queen of Jhansi Action Biography Drama Story of Rani Lakshmibai  one of the leading figures of the Indian Rebellion of 1857 and her resistance to the British Rule. Kangana Ranaut
9,Thackeray,2019,Biography Drama,Biographical account of Shiv Sena Supremo  Balasaheb Thackeray.,Nawazuddin Siddiqui,Thackeray Biography Drama Biographical account of Shiv Sena Supremo  Balasaheb Thackeray. Nawazuddin Siddiqui
10,Amavas,2019,Horror Thriller,The lives of a couple turn into a nightmare  as dark forces lie in wait beneath the shadows of the haunted bungalow in which they have decided to stay.,Ali Asgar,Amavas Horror Thriller The lives of a couple turn into a nightmare  as dark forces lie in wait beneath the shadows of the haunted bungalow in which they have decided to stay. Ali Asgar
11,Gully Boy,2019,Drama Music,A coming-of-age story based on the lives of street rappers in Mumbai.,Ranveer Singh,Gully Boy Drama Music A coming-of-age story based on the lives of street rappers in Mumbai. Ranveer Singh
12,Hum chaar,2019,Drama,The story of the film revolves around four college friends went their own direction in life  but remained inseparable from each other.,Prit Kamani,Hum chaar Drama The story of the film revolves around four college friends went their own direction in life  but remained inseparable from each other. Prit Kamani
13,Total Dhamaal,2019,Action Adventure Comedy,A group of people learn about a hidden treasure and then they race to find it and claim it.,Ajay Devgn,Total Dhamaal Action Adventure Comedy A group of people learn about a hidden treasure and then they race to find it and claim it. Ajay Devgn
14,Sonchiriya,2019,Action Crime Drama,Set in the Chambal valley  the film follows the story of a legion of dreaded  warring dacoits who once terrorized the Indian heartlands.,Sushant Singh Rajput,Sonchiriya Action Crime Drama Set in the Chambal valley  the film follows the story of a legion of dreaded  warring dacoits who once terrorized the Indian heartlands. Sushant Singh Rajput
15,Badla,2019,Crime Drama Mystery,A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,Amitabh Bachchan,Badla Crime Drama Mystery A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened. Amitabh Bachchan
16,Mard Ko Dard Nahin Hota,2018,Action Comedy,It is a story of a young boy Surya who has a rare condition of Congenital Insensitivity to pain meaning he can not feel pain  and he sets out to learn martial arts and hunt down muggers.,Abhimanyu Dasani,Mard Ko Dard Nahin Hota Action Comedy It is a story of a young boy Surya who has a rare condition of Congenital Insensitivity to pain meaning he can not feel pain  and he sets out to learn martial arts and hunt down muggers. Abhimanyu Dasani
17,Hamid,2018,Drama,Eight year-old Hamid learns that 786 is God's number and decides to try and reach out to God  by dialing this number. He wants to talk to his father  who his mother tells him has gone to Allah. One fine day the phone call is answered.,Talha Arshad Reshi,Hamid Drama Eight year-old Hamid learns that 786 is God's number and decides to try and reach out to God  by dialing this number. He wants to talk to his father  who his mother tells him has gone to Allah. One fine day the phone call is answered. Talha Arshad Reshi
18,Photograph,2019,Drama Romance,A struggling street photographer in Mumbai  pressured to marry by his grandmother  convinces a shy stranger to pose as his fiancée. The pair develop a connection that transforms them in ways they could not expect.,Nawazuddin Siddiqui,Photograph Drama Romance A struggling street photographer in Mumbai  pressured to marry by his grandmother  convinces a shy stranger to pose as his fiancée. The pair develop a connection that transforms them in ways they could not expect. Nawazuddin Siddiqui
19,Risknamaa,2019,Thriller,Sher Singh is the Sarpanch of his village. Whose same order for all  that whoever loves  will get the death punishment only. In this way Sher Singh has killed so many boys and girls  who ...                    ,Garima Agarwal,Risknamaa Thriller Sher Singh is the Sarpanch of his village. Whose same order for all  that whoever loves  will get the death punishment only. In this way Sher Singh has killed so many boys and girls  who ...                     Garima Agarwal
20,Mere Pyare Prime Minister,2018,Drama,A story about four children living in a Mumbai slum in India. An eight-year old Kanhu writes a letter to the Prime Minister after a dramatic incident with his mother. A small boy has to achieve the impossible.,Rasika Agashe,Mere Pyare Prime Minister Drama A story about four children living in a Mumbai slum in India. An eight-year old Kanhu writes a letter to the Prime Minister after a dramatic incident with his mother. A small boy has to achieve the impossible. Rasika Agashe
21,22 Yards,2019,Sport,A dramatic portrayal of a victorious tale of a fallen cricket agent and a young cricketer.,Barun Sobti,22 Yards Sport A dramatic portrayal of a victorious tale of a fallen cricket agent and a young cricketer. Barun Sobti
22,Kesari,2019,Action Drama History,Based on an incredible true story of the Battle of Saragarhi in which an army of 21 Sikhs fought against 10 000 Afghans in 1897.,Akshay Kumar,Kesari Action Drama History Based on an incredible true story of the Battle of Saragarhi in which an army of 21 Sikhs fought against 10 000 Afghans in 1897. Akshay Kumar
23,Notebook,2019,Drama Romance,An ex-army officer  Kabir  becomes a teacher in Kashmir in a school that is in a miserable condition. Things take a turn when Kabir finds a notebook  left behind by the previous year's teacher Firdaus (Pranutan Bahl).,Zaheer Iqbal,Notebook Drama Romance An ex-army officer  Kabir  becomes a teacher in Kashmir in a school that is in a miserable condition. Things take a turn when Kabir finds a notebook  left behind by the previous year's teacher Firdaus (Pranutan Bahl). Zaheer Iqbal
24,Junglee,2019,Action Adventure,The story revolves around a vet  who on his homecoming to his father's elephant reserve  encounters and fights an international poachers racket.,Vidyut Jammwal,Junglee Action Adventure The story revolves around a vet  who on his homecoming to his father's elephant reserve  encounters and fights an international poachers racket. Vidyut Jammwal
25,Gone Kesh,2019,Drama,Enakshi is diagnosed with Alopecia  where she begins to lose hair from her scalp. Although she finds her temporary fix to this  it begins to steal previous years of her youth and takes her life by a storm. Will she be able to find a cure?,Deepika Amin,Gone Kesh Drama Enakshi is diagnosed with Alopecia  where she begins to lose hair from her scalp. Although she finds her temporary fix to this  it begins to steal previous years of her youth and takes her life by a storm. Will she be able to find a cure? Deepika Amin
26,Albert Pinto Ko Gussa Kyun Aata Hai?,2019,Drama,Albert Pinto goes missing one day and his girlfriend and family start making rounds at the police station to track him down. Unknown to them  he is on his way to Goa to carry out his first assignment as a hitman.,Manav Kaul,Albert Pinto Ko Gussa Kyun Aata Hai? Drama Albert Pinto goes missing one day and his girlfriend and family start making rounds at the police station to track him down. Unknown to them  he is on his way to Goa to carry out his first assignment as a hitman. Manav Kaul
27,The Tashkent Files,2019,Drama Mystery Thriller,The Tashkent Files is a thriller that revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death  or  as alleged  was assassinated.,Naseeruddin Shah,The Tashkent Files Drama Mystery Thriller The Tashkent Files is a thriller that revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death  or  as alleged  was assassinated. Naseeruddin Shah
28,Kalank,2019,Drama Romance,The lives of six enigmatic characters become entangled whilst in search of love  but separated by the dichotomy between the two worlds of Husnabad  a town in North India.,Varun Dhawan,Kalank Drama Romance The lives of six enigmatic characters become entangled whilst in search of love  but separated by the dichotomy between the two worlds of Husnabad  a town in North India. Varun Dhawan
29,Setters,2019,Thriller,A thriller set in Benares  Jaipur  Mumbai and Delhi  Setters is about a racket profiteering from academic scams. The film follows a cat-and-mouse game between two good friends: one a cop  ...                    ,Shreyas Talpade,Setters Thriller A thriller set in Benares  Jaipur  Mumbai and Delhi  Setters is about a racket profiteering from academic scams. The film follows a cat-and-mouse game between two good friends: one a cop  ...                     Shreyas Talpade
30,Student of the Year 2,2019,Drama Romance Sport,A student must face off against bullies and overcome hurdles  both academic and romantic  to win his college's coveted Student of the Year trophy.,Tiger Shroff,Student of the Year 2 Drama Romance Sport A student must face off against bullies and overcome hurdles  both academic and romantic  to win his college's coveted Student of the Year trophy. Tiger Shroff
31,PM Narendra Modi,2019,Biography Drama,Biography of India's Prime Minister Shri Narendra Modi.,Boman Irani,PM Narendra Modi Biography Drama Biography of India's Prime Minister Shri Narendra Modi. Boman Irani
32,De De Pyaar De,2019,Comedy Romance,A 50-year-old single father faces disapproval from his family and his ex-wife when he falls in love with a 26-year-old woman.,Ajay Devgn,De De Pyaar De Comedy Romance A 50-year-old single father faces disapproval from his family and his ex-wife when he falls in love with a 26-year-old woman. Ajay Devgn
33,India's Most Wanted,2019,Action Thriller,A group of intelligence officers embark on a top secret mission to track down a wanted international criminal.,Arjun Kapoor,India's Most Wanted Action Thriller A group of intelligence officers embark on a top secret mission to track down a wanted international criminal. Arjun Kapoor
34,Yeh Hai India,2017,Action Adventure Drama,Yeh Hai India  follows the story of a 25 years old NRI  who is born and brought up in UK. He shares the same stereotypical views about India that most NRIs have and how his perception changes.,Gavie Chahal,Yeh Hai India Action Adventure Drama Yeh Hai India  follows the story of a 25 years old NRI  who is born and brought up in UK. He shares the same stereotypical views about India that most NRIs have and how his perception changes. Gavie Chahal
35,Khamoshi,2019,Horror Thriller,A remake of an English movie Hush (2016)  where a deaf and mute girl must fight for her life when a killer appears at her door.,Prabhu Deva,Khamoshi Horror Thriller A remake of an English movie Hush (2016)  where a deaf and mute girl must fight for her life when a killer appears at her door. Prabhu Deva
36,Kabir Singh,2019,Drama Romance,Kabir Singh is a remake of a Telugu movie Arjun Reddy (2017)  where a short-tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.,Shahid Kapoor,Kabir Singh Drama Romance Kabir Singh is a remake of a Telugu movie Arjun Reddy (2017)  where a short-tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person. Shahid Kapoor
37,Article 15,2019,Crime Drama,In the rural heartlands of India  an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.,Ayushmann Khurrana,Article 15 Crime Drama In the rural heartlands of India  an upright police officer sets out on a crusade against violent caste-based crimes and discrimination. Ayushmann Khurrana
38,One Day: Justice Delivered,2019,Action Crime Thriller,A Crime Branch Special Officer Investigates the Serial disappearance of high profile individuals in a state capital.,Anupam Kher,One Day: Justice Delivered Action Crime Thriller A Crime Branch Special Officer Investigates the Serial disappearance of high profile individuals in a state capital. Anupam Kher
39,Hume Tumse Pyaar Kitna,2019,Action Drama Romance,It is about limerence of Dhruv (played by Bohra) resulting from an obsessive attraction to Ananya (played by Banerjee).,Karanvir Bohra,Hume Tumse Pyaar Kitna Action Drama Romance It is about limerence of Dhruv (played by Bohra) resulting from an obsessive attraction to Ananya (played by Banerjee). Karanvir Bohra
40,Super 30,2019,Biography Drama,Based on life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.,Hrithik Roshan,Super 30 Biography Drama Based on life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna. Hrithik Roshan
41,Family of Thakurganj,2019,Action Drama,The film is based on small town of North India. Film's story is about confrontation of love and thoughts. Along with entertainment.,Jimmy Sheirgill,Family of Thakurganj Action Drama The film is based on small town of North India. Film's story is about confrontation of love and thoughts. Along with entertainment. Jimmy Sheirgill
42,Batla House,2019,Action Drama Thriller,After a deadly encounter  a police officer works to prove that the police acted lawfully.,John Abraham,Batla House Action Drama Thriller After a deadly encounter  a police officer works to prove that the police acted lawfully. John Abraham
43,Jhootha Kahin Ka,2019,Comedy,Two boys go to Mauritius to study and love it so much there  that they are reluctant to return home. Rishi plays Omkar's dad who turns up from the village to surprise him and is in turn surprised by his son's lifestyle.,Rishi Kapoor,Jhootha Kahin Ka Comedy Two boys go to Mauritius to study and love it so much there  that they are reluctant to return home. Rishi plays Omkar's dad who turns up from the village to surprise him and is in turn surprised by his son's lifestyle. Rishi Kapoor
44,Judgementall Hai Kya,2019,Comedy Drama Thriller,Following the story of two quirky individuals whose lives pivot between reality and illusions.,Kangana Ranaut,Judgementall Hai Kya Comedy Drama Thriller Following the story of two quirky individuals whose lives pivot between reality and illusions. Kangana Ranaut
45,Chicken Curry Law,2019,Drama,An ambitious and innocent girl falls prey to the power of money and politics.,Natalia Janoszek,Chicken Curry Law Drama An ambitious and innocent girl falls prey to the power of money and politics. Natalia Janoszek
46,Arjun Patiala,2019,Action Comedy,This spoof comedy narrates the story of a cop Arjun Patiala (Diljit Dosanjh) and his sidekick Onidda Singh (Varun Sharma). Together  will they be able to accomplish their mission of a crime-free town with their goofy style of policing?,Diljit Dosanjh,Arjun Patiala Action Comedy This spoof comedy narrates the story of a cop Arjun Patiala (Diljit Dosanjh) and his sidekick Onidda Singh (Varun Sharma). Together  will they be able to accomplish their mission of a crime-free town with their goofy style of policing? Diljit Dosanjh
47,Jabariya Jodi,2019,Action Comedy Drama,A thug helps kidnap grooms in order to avoid paying out dowries for their upcoming marriage.,Sidharth Malhotra,Jabariya Jodi Action Comedy Drama A thug helps kidnap grooms in order to avoid paying out dowries for their upcoming marriage. Sidharth Malhotra
48,Pranaam,2019,Action Crime Drama,A peon's son who is an aspiring IAS officer is compelled to change his path leading him to turn into a gangster.,Rajeev Khandelwal,Pranaam Action Crime Drama A peon's son who is an aspiring IAS officer is compelled to change his path leading him to turn into a gangster. Rajeev Khandelwal
49,The Sky Is Pink,2019,Drama Family Romance,It is based on the love story of a couple spanning 25 years  told through the lens of their spunky teenage daughter Aisha Chaudhary  who was diagnosed with a Pulmonary fibrosis .,Zaira Wasim,The Sky Is Pink Drama Family Romance It is based on the love story of a couple spanning 25 years  told through the lens of their spunky teenage daughter Aisha Chaudhary  who was diagnosed with a Pulmonary fibrosis . Zaira Wasim
50,Mission Mangal,2019,Drama History,Based on true events of the Indian Space Research Organisation (ISRO) successfully launching the Mars Orbiter Mission (Mangalyaan)  making it the least expensive mission to Mars.,Akshay Kumar,Mission Mangal Drama History Based on true events of the Indian Space Research Organisation (ISRO) successfully launching the Mars Orbiter Mission (Mangalyaan)  making it the least expensive mission to Mars. Akshay Kumar
51,Saaho,2019,Action Thriller,"An undercover cop becomes embroiled in a battle with warring criminals who want to acquire a ""black box "" their ultimate key to a treasure.",Jacqueline Fernandez,"Saaho Action Thriller An undercover cop becomes embroiled in a battle with warring criminals who want to acquire a ""black box "" their ultimate key to a treasure. Jacqueline Fernandez"
52,Dream Girl,2019,Comedy Romance,Rom-com Movie  directed by Raaj Shaandilyaa  stars Ayushmann Khurrana who plays a 'dream girl'. In every love story  there is always one trying to win the heart of the other  who could be the 'dream girl'.,Ayushmann Khurrana,Dream Girl Comedy Romance Rom-com Movie  directed by Raaj Shaandilyaa  stars Ayushmann Khurrana who plays a 'dream girl'. In every love story  there is always one trying to win the heart of the other  who could be the 'dream girl'. Ayushmann Khurrana
53,Section 375,2019,Crime Drama,A celebrated Bollywood director Rohan Khurana stands accused by a female member of his crew  Anjali Dangle of having raped her at his residence.,Akshaye Khanna,Section 375 Crime Drama A celebrated Bollywood director Rohan Khurana stands accused by a female member of his crew  Anjali Dangle of having raped her at his residence. Akshaye Khanna
54,The Zoya Factor,2019,Comedy Drama Romance,Based Anuja Chauhan's novel  Zoya Factor is a rom-com about Zoya  an advertising agent and her relationship with the captain of team India  Nikhil Khoda.,Sonam Kapoor,The Zoya Factor Comedy Drama Romance Based Anuja Chauhan's novel  Zoya Factor is a rom-com about Zoya  an advertising agent and her relationship with the captain of team India  Nikhil Khoda. Sonam Kapoor
55,Pal Pal Dil Ke Paas,2019,Action Drama Romance,When video blogger Saher Sethi embarks on a tedious trek with mountaineer Karan Sehgal  sparks are bound to fly. But will their love story blossom despite the odds?,Karan Deol,Pal Pal Dil Ke Paas Action Drama Romance When video blogger Saher Sethi embarks on a tedious trek with mountaineer Karan Sehgal  sparks are bound to fly. But will their love story blossom despite the odds? Karan Deol
56,Prassthanam,2019,Action Drama,A rural politician marries a widow with kids and gains a respectable position and trusts his stepson more than his own in political matters; thus upsetting his son beyond limits.,Sanjay Dutt,Prassthanam Action Drama A rural politician marries a widow with kids and gains a respectable position and trusts his stepson more than his own in political matters; thus upsetting his son beyond limits. Sanjay Dutt
57,P Se Pyaar F Se Faraar,2019,Crime Drama Romance,High-school sweethearts Suraj Maali and Janvi Singh are well aware of their diverse socio-economic backgrounds and so  the young lovers opt for marriage by elopement. This  in turn  conjures up a storm the couple isn't prepared for.,Bhavesh Kumar,P Se Pyaar F Se Faraar Crime Drama Romance High-school sweethearts Suraj Maali and Janvi Singh are well aware of their diverse socio-economic backgrounds and so  the young lovers opt for marriage by elopement. This  in turn  conjures up a storm the couple isn't prepared for. Bhavesh Kumar
58,Ghost,2019,Horror Thriller,The story of the film follows Karan Khanna  a politician of Indian origin in the United Kingdom  who is accused of killing his wife. He tells his lawyer that a spirit committed the murder and should be tried.,Sanaya Irani,Ghost Horror Thriller The story of the film follows Karan Khanna  a politician of Indian origin in the United Kingdom  who is accused of killing his wife. He tells his lawyer that a spirit committed the murder and should be tried. Sanaya Irani
59,Bala,2019,Comedy,It tells the story of a man who is balding prematurely and how he copes up with the situation.,Ayushmann Khurrana,Bala Comedy It tells the story of a man who is balding prematurely and how he copes up with the situation. Ayushmann Khurrana
60,#Yaaram,2019,Comedy Romance,All set for an arranged marriage  Rohit Bajaj is faced with a rather strange request from his Muslim friend Sahil. As per halala  he convinces Rohit to get hitched to his ex-wife  just for ...                    ,Siddhanth Kapoor,#Yaaram Comedy Romance All set for an arranged marriage  Rohit Bajaj is faced with a rather strange request from his Muslim friend Sahil. As per halala  he convinces Rohit to get hitched to his ex-wife  just for ...                     Siddhanth Kapoor
61,Housefull 4,2019,Action Comedy Fantasy,A set of three brothers are due to marry a set of three sisters  until one of the brothers starts to realize that they are all reincarnations from 600 years earlier and the wrong couples are about to get married.,Akshay Kumar,Housefull 4 Action Comedy Fantasy A set of three brothers are due to marry a set of three sisters  until one of the brothers starts to realize that they are all reincarnations from 600 years earlier and the wrong couples are about to get married. Akshay Kumar
62,Saand Ki Aankh,2019,Biography Drama,Both over the age of 60  Chandro Tomar and Prakashi Tomar inspire other women in India when they demonstrate their expert sharpshooting skills.,Taapsee Pannu,Saand Ki Aankh Biography Drama Both over the age of 60  Chandro Tomar and Prakashi Tomar inspire other women in India when they demonstrate their expert sharpshooting skills. Taapsee Pannu
63,Made in China,2019,Comedy Drama,Story of Failed Gujarati Businessman  who jumps into unknown world of China to get once in a life time business idea  which will change his life.,Rajkummar Rao,Made in China Comedy Drama Story of Failed Gujarati Businessman  who jumps into unknown world of China to get once in a life time business idea  which will change his life. Rajkummar Rao
64,Ujda Chaman,2019,Comedy,Ujda Chaman is about a 30 -year-old bachelor Chaman Kohli  a Hindi lecturer with Premature Balding and in quest of a beautiful wife. After facing several rejections as a prospective groom ...                    ,Sunny Singh Nijjar,Ujda Chaman Comedy Ujda Chaman is about a 30 -year-old bachelor Chaman Kohli  a Hindi lecturer with Premature Balding and in quest of a beautiful wife. After facing several rejections as a prospective groom ...                     Sunny Singh Nijjar
65,Bypass Road,2019,Drama Thriller,The Story revolves around a young man Vikram (Neil Nitin Mukesh) who is a fashion prodigy. The story is layered with a murder in town.,Neil Nitin Mukesh,Bypass Road Drama Thriller The Story revolves around a young man Vikram (Neil Nitin Mukesh) who is a fashion prodigy. The story is layered with a murder in town. Neil Nitin Mukesh
66,Satellite Shankar,2019,Action Drama,The extraordinary journey of a soldier that brought a nation together. It stars Sooraj Pancholi and Megha Akash in the lead roles and is directed by Irfan Kamal.,Suraj Pancholi,Satellite Shankar Action Drama The extraordinary journey of a soldier that brought a nation together. It stars Sooraj Pancholi and Megha Akash in the lead roles and is directed by Irfan Kamal. Suraj Pancholi
67,Jhalki,2019,Drama,A life-altering disappearance of her 7-year old brother sets Jhalki off on a mission to find him at all costs. Armed with an intimate folk-tale and her own sharp mind  is Jhalki's journey ...                    ,Boman Irani,Jhalki Drama A life-altering disappearance of her 7-year old brother sets Jhalki off on a mission to find him at all costs. Armed with an intimate folk-tale and her own sharp mind  is Jhalki's journey ...                     Boman Irani
68,Marjaavaan,2019,Action Romance,Marjaavaan is an upcoming Indian action romance film directed by Milap Zaveri starring Ritesh Deshmukh  Sidharth Malhotra  Tara Sutaria and Rakul Preet Singh. The co producer of the film ...                    ,Riteish Deshmukh,Marjaavaan Action Romance Marjaavaan is an upcoming Indian action romance film directed by Milap Zaveri starring Ritesh Deshmukh  Sidharth Malhotra  Tara Sutaria and Rakul Preet Singh. The co producer of the film ...                     Riteish Deshmukh
69,Motichoor Chaknachoor,2019,Comedy Romance,A hilarious story of a 36-year-old jobless man Pushpender  trying to find a wife and Anita who's also looking for a husband. But there's a catch - Anita wants to settle abroad after marriage.,Nawazuddin Siddiqui,Motichoor Chaknachoor Comedy Romance A hilarious story of a 36-year-old jobless man Pushpender  trying to find a wife and Anita who's also looking for a husband. But there's a catch - Anita wants to settle abroad after marriage. Nawazuddin Siddiqui
70,Keep Safe Distance,2019,Action Thriller,Keep Safe Distance is an upcoming Indian thriller film directed by Rama Mehra and produced by vishnu dhanraj sharma and mahesh sharma under the rama dhanraj production,Shahbaaz Khan,Keep Safe Distance Action Thriller Keep Safe Distance is an upcoming Indian thriller film directed by Rama Mehra and produced by vishnu dhanraj sharma and mahesh sharma under the rama dhanraj production Shahbaaz Khan
71,Pagalpanti,2019,Action Comedy,A tourist group from India sets out on a vacation to only have their trip to turn into a patriotic mission. Will it end well for them?,Kriti Kharbanda,Pagalpanti Action Comedy A tourist group from India sets out on a vacation to only have their trip to turn into a patriotic mission. Will it end well for them? Kriti Kharbanda
73,Yeh Saali Aashiqui,2019,Thriller,Add a Plot »,Vardhan Puri,Yeh Saali Aashiqui Thriller Add a Plot » Vardhan Puri
74,Dil Bechara,2019,Drama Romance,A love story about two cancer patients.,Sushant Singh Rajput,Dil Bechara Drama Romance A love story about two cancer patients. Sushant Singh Rajput
75,Pati Patni Aur Woh,2019,Comedy Romance,Chintu Tyagi is an ordinary  middle class man who finds himself torn between his wife and another woman.,Kartik Aaryan,Pati Patni Aur Woh Comedy Romance Chintu Tyagi is an ordinary  middle class man who finds himself torn between his wife and another woman. Kartik Aaryan
76,Commando 3,2019,Action Thriller,Commando 3 is a Hindi movie starring Vidyut Jammwal  Adah Sharma  Angira Dhar and Gulshan Devaiah in prominent roles. It is an action drama thriller directed by Aditya Datt.,Vidyut Jammwal,Commando 3 Action Thriller Commando 3 is a Hindi movie starring Vidyut Jammwal  Adah Sharma  Angira Dhar and Gulshan Devaiah in prominent roles. It is an action drama thriller directed by Aditya Datt. Vidyut Jammwal
77,Mardaani 2,2019,Action Drama Thriller,Shivani Shivaji Roy locks horns with the devil incarnate  a young & remorseless serial killer who is raping & murdering young women.,Rani Mukerji,Mardaani 2 Action Drama Thriller Shivani Shivaji Roy locks horns with the devil incarnate  a young & remorseless serial killer who is raping & murdering young women. Rani Mukerji
78,Dabangg 3,2019,Action,Third installment of the Dabanng film series.,Salman Khan,Dabangg 3 Action Third installment of the Dabanng film series. Salman Khan
79,Good Newwz,2019,Comedy Drama Romance,It is an upcoming Indian romantic comedy film starring Akshay Kumar  Kiara Advani  Kareena Kapoor Khan and Diljit Dosanjh in lead roles.,Akshay Kumar,Good Newwz Comedy Drama Romance It is an upcoming Indian romantic comedy film starring Akshay Kumar  Kiara Advani  Kareena Kapoor Khan and Diljit Dosanjh in lead roles. Akshay Kumar
80,Kaalakaandi,2018,Comedy Thriller,Unfolding through a course of a night in Mumbai  Kaalakaandi showcases three parallel tracks -- a man who discovers he has terminal illness decides to let go of his principles and live a ...                    ,Saif Ali Khan,Kaalakaandi Comedy Thriller Unfolding through a course of a night in Mumbai  Kaalakaandi showcases three parallel tracks -- a man who discovers he has terminal illness decides to let go of his principles and live a ...                     Saif Ali Khan
81,Vodka Diaries,2018,Mystery Thriller,In the misty town of Manali  ACP Ashwini Dixit attempts to solve a series of mysterious murders happening in a single night  which might be connected to the night club  Vodka Diaries.,Kay Kay Menon,Vodka Diaries Mystery Thriller In the misty town of Manali  ACP Ashwini Dixit attempts to solve a series of mysterious murders happening in a single night  which might be connected to the night club  Vodka Diaries. Kay Kay Menon
82,My Birthday Song,2018,Thriller,After a wild night of impulse and passion  advertising executive Rajiv Kaul must navigate the murky lines between life  death  fact  and fiction.,Nora Fatehi,My Birthday Song Thriller After a wild night of impulse and passion  advertising executive Rajiv Kaul must navigate the murky lines between life  death  fact  and fiction. Nora Fatehi
83,Nirdosh,2018,Drama Mystery Thriller,Arbaaz Khan plays the role of the investigating officer in a murder case in which Manjari Fadnnis emerges as the prime suspect and is arrested. However  as events unfold  many possibilities and suspects come to the fore.,Ashmit Patel,Nirdosh Drama Mystery Thriller Arbaaz Khan plays the role of the investigating officer in a murder case in which Manjari Fadnnis emerges as the prime suspect and is arrested. However  as events unfold  many possibilities and suspects come to the fore. Ashmit Patel
84,Mukkabaaz,2017,Action Drama Sport,A boxer struggles to make his mark in the boxing world.,Viineet Kumar,Mukkabaaz Action Drama Sport A boxer struggles to make his mark in the boxing world. Viineet Kumar
85,Union Leader,2017,Drama,Resigned to his fate as a worker in a notoriously shoddy chemical plant  Jay realizes that he must not only find a way to support his family  but also overcome grave social and legal injustice in the system.,Rahul Bhat,Union Leader Drama Resigned to his fate as a worker in a notoriously shoddy chemical plant  Jay realizes that he must not only find a way to support his family  but also overcome grave social and legal injustice in the system. Rahul Bhat
86,Love Per Square Foot,2018,Comedy Romance,Individually  Sanjay and Karina don't earn enough to be able to buy a home  so they enter into a marriage of convenience.,Vicky Kaushal,Love Per Square Foot Comedy Romance Individually  Sanjay and Karina don't earn enough to be able to buy a home  so they enter into a marriage of convenience. Vicky Kaushal
