,original_title,year_of_release,genres,summary,actors,Movie_COL
1072,Dhan Dhana Dhan Goal,2007,Drama Sport,Jaidev and Kavita Bhasin live a middle-classed lifestyle in Southall  England  along with their son  Sunny. During the mid-80s Jaidev was a huge fan of the all-Asian Southall Football Club ...                    ,John Abraham,Dhan Dhana Dhan Goal Drama Sport Jaidev and Kavita Bhasin live a middle-classed lifestyle in Southall  England  along with their son  Sunny. During the mid-80s Jaidev was a huge fan of the all-Asian Southall Football Club ...                     John Abraham
1073,Dharm,2007,Drama History,The movie is about a Hindu priest Pandit Chaturvedi (Pankaj Kapur) who is one of the most highly respected priests in the entire city of Varanasi. A man who lives for his religion  soaked ...                    ,Pankaj Kapur,Dharm Drama History The movie is about a Hindu priest Pandit Chaturvedi (Pankaj Kapur) who is one of the most highly respected priests in the entire city of Varanasi. A man who lives for his religion  soaked ...                     Pankaj Kapur
1074,Journey Bombay to Goa: Laughter Unlimited,2007,Action Adventure Comedy,After learning a secret of a treasure from a runaway criminal  a group of tourists embarks on journey to find the hidden treasure from Bombay to Goa.,Sunil Pal,Journey Bombay to Goa: Laughter Unlimited Action Adventure Comedy After learning a secret of a treasure from a runaway criminal  a group of tourists embarks on journey to find the hidden treasure from Bombay to Goa. Sunil Pal
1075,Dhokha,2007,Action Drama Romance,Post-September 11  2001  Zaid Ahmed Khan lives a wealthy lifestyle in Mumbai and resides in an apartment at Shanti Kutir  Juhu Tara Road  Mumbai  and works as an Assistant Commissioner of ...                    ,Muzamil Ibrahim,Dhokha Action Drama Romance Post-September 11  2001  Zaid Ahmed Khan lives a wealthy lifestyle in Mumbai and resides in an apartment at Shanti Kutir  Juhu Tara Road  Mumbai  and works as an Assistant Commissioner of ...                     Muzamil Ibrahim
1076,Dil Dosti Etc,2007,Comedy Crime Drama,Delhi-based fellow-collegians-cum-hostelers  Sanjay Mishra  and Apurv  challenge each other to win the University elections and sleep with three different girls respectively before the ...                    ,Imaaduddin Shah,Dil Dosti Etc Comedy Crime Drama Delhi-based fellow-collegians-cum-hostelers  Sanjay Mishra  and Apurv  challenge each other to win the University elections and sleep with three different girls respectively before the ...                     Imaaduddin Shah
1077,Dhol,2007,Comedy Crime Mystery,Four lazy friends try to woo a rich girl  in order to live a wealthy lifestyle. Their plan  however goes horribly wrong after they get embroiled with a notorious criminal.,Sharman Joshi,Dhol Comedy Crime Mystery Four lazy friends try to woo a rich girl  in order to live a wealthy lifestyle. Their plan  however goes horribly wrong after they get embroiled with a notorious criminal. Sharman Joshi
1078,Ek Chalis Ki Last Local,2007,Adventure Comedy Crime,A comic thriller about two people who miss the last local train at 1:40 am and how missing of their train changes their course of life forever.,Abhay Deol,Ek Chalis Ki Last Local Adventure Comedy Crime A comic thriller about two people who miss the last local train at 1:40 am and how missing of their train changes their course of life forever. Abhay Deol
1079,Familywala,2014,Comedy Drama Romance,"A rich girl Anjali (Diya Mirza) arrives in India from America after studying  to take over her fathers vast business empire. A poor man Raju (Arjun Rampal) who lives with ""Bawa"" (Paresh ...                    ",Arjun Rampal,"Familywala Comedy Drama Romance A rich girl Anjali (Diya Mirza) arrives in India from America after studying  to take over her fathers vast business empire. A poor man Raju (Arjun Rampal) who lives with ""Bawa"" (Paresh ...                     Arjun Rampal"
1080,Gandhi My Father,2007,Biography Drama History,The account of troubled relationship between Mahatma Gandhi and his eldest son.,Akshaye Khanna,Gandhi My Father Biography Drama History The account of troubled relationship between Mahatma Gandhi and his eldest son. Akshaye Khanna
1081,Don't Stop Dreaming,2007,Comedy Drama,Set in Birmingham  it is the story of a girl and her two friends who start a multi-cultural-ethnic band. Against their parents wishes they put together spirit and energy to express themselves.,Rishi Kapoor,Don't Stop Dreaming Comedy Drama Set in Birmingham  it is the story of a girl and her two friends who start a multi-cultural-ethnic band. Against their parents wishes they put together spirit and energy to express themselves. Rishi Kapoor
1082,Dus Kahaniyaan,2007,Drama,An anthology of ten short films dealing with diverse subjects such as infidelity  companionship  lust and a spectrum of human emotions.,Arbaaz Khan,Dus Kahaniyaan Drama An anthology of ten short films dealing with diverse subjects such as infidelity  companionship  lust and a spectrum of human emotions. Arbaaz Khan
1083,Eklavya,2007,Action Drama Thriller,As the kingdom of Devigarh comes apart at the seams  an aging bodyguard attempts to protect the Royal Family  as well as keep its darkest secrets from ever coming to light.,Amitabh Bachchan,Eklavya Action Drama Thriller As the kingdom of Devigarh comes apart at the seams  an aging bodyguard attempts to protect the Royal Family  as well as keep its darkest secrets from ever coming to light. Amitabh Bachchan
1084,Go,2007,Crime Drama Romance,Mrs. Dave does not approve of her daughter  Vasundhara's next-door boyfriend  Abhay Narula  and arranges her marriage with Carson Gharodia. In protest  she elopes with Abhay on his ...                    ,Gautam Gupta,Go Crime Drama Romance Mrs. Dave does not approve of her daughter  Vasundhara's next-door boyfriend  Abhay Narula  and arranges her marriage with Carson Gharodia. In protest  she elopes with Abhay on his ...                     Gautam Gupta
1085,Gauri: The Unborn,2007,Drama Horror Thriller,Mumbai-based Architect  Sudeep  secures a contract and decides to celebrate by going on a much-needed vacation to Mauritius along with his wife  Roshni  and school-going daughter  Shivani. ...                    ,Mohan Azaad,Gauri: The Unborn Drama Horror Thriller Mumbai-based Architect  Sudeep  secures a contract and decides to celebrate by going on a much-needed vacation to Mauritius along with his wife  Roshni  and school-going daughter  Shivani. ...                     Mohan Azaad
1086,Heyy Babyy,2007,Comedy Drama,Three bachelors who are compulsive womanizers find their lives turned upside down when a baby is left at their doorstep. The trio suspect each other of being the father.,Juanna Sanghvi,Heyy Babyy Comedy Drama Three bachelors who are compulsive womanizers find their lives turned upside down when a baby is left at their doorstep. The trio suspect each other of being the father. Juanna Sanghvi
1087,Guru,2007,Biography Drama,A villager  Gurukant Desai  arrives in Bombay 1958  and rises from its streets to become the GURU  the biggest tycoon in Indian history.,Mithun Chakraborty,Guru Biography Drama A villager  Gurukant Desai  arrives in Bombay 1958  and rises from its streets to become the GURU  the biggest tycoon in Indian history. Mithun Chakraborty
1088,Honeymoon Travels Pvt. Ltd.,2007,Comedy Drama Romance,Six newly-married  diverse  honeymooning couples face marital bliss and discord  finding out more about themselves  their significant others and life in this happy-go-lucky  quirky drama.,Ranvir Shorey,Honeymoon Travels Pvt. Ltd. Comedy Drama Romance Six newly-married  diverse  honeymooning couples face marital bliss and discord  finding out more about themselves  their significant others and life in this happy-go-lucky  quirky drama. Ranvir Shorey
1089,Jahan Jaaeyega Hamen Paaeyega,2007,Action Crime Drama,Karan loves Anju  but she gets murdered  and Karan is jailed. After his escape he meets two young boys  Tito and Toni. Together they find Anju's death plotters and take revenge. He finds ...                    ,Govinda,Jahan Jaaeyega Hamen Paaeyega Action Crime Drama Karan loves Anju  but she gets murdered  and Karan is jailed. After his escape he meets two young boys  Tito and Toni. Together they find Anju's death plotters and take revenge. He finds ...                     Govinda
1090,Jhoom Barabar Jhoom,2007,Drama Romance,A crazy love story full of lies  deceits and a complicated quadrangle where each one has to think quickly and dance around each other's emotions.,Abhishek Bachchan,Jhoom Barabar Jhoom Drama Romance A crazy love story full of lies  deceits and a complicated quadrangle where each one has to think quickly and dance around each other's emotions. Abhishek Bachchan
